# id                    Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21    phi31    meanmag   cost     phcov   phcov2   snr      Npt   order   minmax   phaseshift   id_2                  Nep_rv   totamp_rv   A1_rv     A2_rv    A3_rv    phi1_rv   phi2_rv   phi3_rv   phi21_rv   phi31_rv   mean_rv    cost_rv   phcov_rv   snr_rv    Npt_rv   order_rv   minmax_rv   remark  
  346052906680064896    24    0.506847   0.569    0.208   0.102   0.056   -2.336   4.39     -1.248   9.0626   5.7599   12.676    0.0014   0.917   0.856    258.9    24    5       0.562    -0.372       346052906680064896    10       51.951      20.371    7.349    5.32     -0.486    1.711     -1.912    8.9661     5.8292     -31.536    0.7247    0.78       95.9      10       3          56.33       1       
  6765640743333735680   24    0.463306   0.602    0.235   0.107   0.039   -0.914   1.087    -3.347   9.1985   5.6796   12.917    0.0223   0.867   0.92     60.6     24    4       0.705    -0.146       6765640743333735680   10       80.067      14.687    23.005   9.351    -0.743    2.483     0.774     10.2518    3.0029     -22.898    0.3715    0.739      233.2     10       3          75.141      0       
  6701821205809488384   34    0.837558   0.475    0.187   0.08    0.037   2.507    1.735    1.208    9.2873   6.2541   13.135    1.0E-4   0.891   0.895    1279.8   34    5       0.466    0.399        6701821205809488384   11       5.348       1.661     0.822    0.555    0.028     0.06      0.092     6.2861     6.2899     295.221    3.4551    0.744      1.0       11       3          64.804      r       
  6655957998830627200   35    0.562381   1.046    0.34    0.189   0.117   1.092    4.602    2.176    8.7016   5.1843   13.281    0.0204   0.907   0.868    289.0    35    5       1.075    0.174        6655957998830627200   10       104.703     16.412    5.714    18.286   -0.436    0.397     0.647     7.5525     8.2385     87.046     0.0       0.819      655.8     10       6          76.848      r       
  6321161342439508480   26    0.269624   1.245    0.403   0.213   0.168   2.35     0.723    -0.711   8.59     4.8061   11.997    0.0111   0.832   0.887    584.0    26    5       1.137    0.374        6321161342439508480   11       79.853      31.004    9.368    10.452   -0.351    2.4       -1.364    9.3853     5.9727     -88.18     0.8453    0.747      128.3     11       3          73.803      1       
  6252275946830231168   41    0.65139    0.907    0.308   0.167   0.106   1.593    5.799    -2.366   8.8966   5.4232   12.37     0.0027   0.933   0.928    1385.0   41    6       0.888    0.253        6252275946830231168   11       75.34       27.323    4.981    3.689    -0.215    2.268     -2.879    8.9816     4.0489     15.873     0.0       0.814      1227.3    11       6          61.244      r       
  6217932971711736064   31    0.621685   0.891    0.296   0.155   0.103   -0.672   1.143    -3.065   8.7691   5.2331   12.835    0.0045   0.879   0.867    722.0    31    6       0.891    -0.107       6217932971711736064   11       0.82        0.236     0.118    0.075    0.012     0.049     0.078     6.3077     6.3248     351.246    7.5264    0.778      0.1       11       6          178.253     r       
  5918501428232052992   34    0.588577   0.587    0.213   0.098   0.059   -0.406   2.021    -1.757   9.1156   5.7433   11.987    0.0041   0.832   0.896    466.4    34    5       0.592    -0.065       5918501428232052992   11       52.007      19.377    8.693    6.114    -0.084    2.309     -0.996    8.7596     5.539      -65.821    1.3095    0.737      55.7      11       3          57.968      1       
  5899764650621447168   44    0.634273   0.435    0.178   0.074   0.042   1.005    4.779    2.602    9.0526   5.8717   12.221    0.0026   0.933   0.874    305.1    44    6       0.468    0.16         5899764650621447168   11       49.513      20.905    7.862    2.884    -0.045    2.305     -1.36     8.6789     5.0588     72.928     0.9163    0.775      73.9      11       3          51.956      1       
  5335614752064948224   46    0.453195   1.064    0.37    0.18    0.138   -0.416   1.534    -2.597   8.649    4.9346   11.809    0.0622   0.899   0.901    103.7    46    5       1.222    -0.066       5335614752064948224   10       68.351      27.365    12.255   5.539    -0.184    2.343     -1.408    8.9954     5.4284     211.385    1.0866    0.779      71.9      10       3          59.067      1       
